1706371289 [45.6407626, -110.5745273]
1706371301 [45.6392596, -110.575104]
1706371316 [45.6376538, -110.5763581]
1706371331 [45.6345816, -110.5759155]
1706371346 [45.6316386, -110.576772]
1706371361 [45.6282044, -110.5774253]
1706371376 [45.6222459, -110.5785486]
1706371391 [45.6188226, -110.5791919]
1706371406 [45.6155079, -110.5789449]
1706371421 [45.6114369, -110.5769755]
1706371436 [45.6075592, -110.5756779]
1706371451 [45.6057694, -110.574799]
1706371468 [45.59886, -110.572382]
