-110.5677903,45.6585013,0
-110.5659134,45.6598172,0
-110.5659064,45.6598063,0
-110.564638,45.6605225,0
-110.5624776,45.6616055,0
-110.5624776,45.6616055,0
-110.5600036,45.6628338,0
-110.5578461,45.6639046,0
-110.5556444,45.6651099,0
-110.5540408,45.6661956,0
-110.5525523,45.6668929,0
-110.5501797,45.6681921,0
-110.5476979,45.6693954,0
-110.5463469,45.6700645,0
-110.5428836,45.6722619,0
-110.541153,45.6731863,0
-110.5362672,45.6750487,0
-110.5334458,45.6761242,0
-110.5298709,45.6775822,0
-110.5251738,45.6793284,0
-110.5221176,45.6805719,0
-110.5193441,45.6816104,0
