1706225289 [45.6582582, -110.56897]
1706225304 [45.6579091, -110.5710087]
1706225319 [45.6571712, -110.5743059]
1706225334 [45.6563099, -110.5781227]
1706225349 [45.6563715, -110.5798396]
1706225364 [45.6558536, -110.5867505]
1706225379 [45.6573397, -110.5822537]
1706225394 [45.6533562, -110.5929454]
1706225409 [45.653201, -110.5966009]
